unit,sex,age,acl00,geo\time	2010 	2000 
PTP_RT,F,TOTAL,AC313,NL	54.1 	: 
PTP_RT,F,TOTAL,AC313,NO	57.5 	66.2 
PTP_RT,F,TOTAL,AC313,PL	64.4 	76.3 
PTP_RT,F,TOTAL,AC313,RO	75.9 	: 
PTP_RT,F,TOTAL,AC313,RS	73.0 	: 
PTP_RT,F,TOTAL,AC313,SI	: 	71.4 
PTP_RT,F,TOTAL,AC313,TR	72.3 	: 
PTP_RT,F,TOTAL,AC313,UK	47.8 	62.0 
PTP_RT,F,TOTAL,AC31A,AT	77.8 	: 
PTP_RT,F,TOTAL,AC31A,BE	73.3 	83.6 
PTP_RT,F,TOTAL,AC31A,BG	: 	88.2 
PTP_RT,F,TOTAL,AC31A,DE	74.7 	80.1 
PTP_RT,F,TOTAL,AC31A,EE	82.1 	90.2 
PTP_RT,F,TOTAL,AC31A,EL	82.3 	: 
PTP_RT,F,TOTAL,AC31A,ES	78.5 	87.0 
PTP_RT,F,TOTAL,AC31A,FI	82.1 	86.2 
PTP_RT,F,TOTAL,AC31A,FR	77.6 	83.0 
PTP_RT,F,TOTAL,AC31A,HU	82.7 	: 
PTP_RT,F,TOTAL,AC31A,IT	84.6 	86.1 
PTP_RT,F,TOTAL,AC31A,LT	: 	90.3 
PTP_RT,F,TOTAL,AC31A,LU	75.2 	: 
PTP_RT,F,TOTAL,AC31A,LV	: 	84.2 
PTP_RT,F,TOTAL,AC31A,NL	75.1 	: 
PTP_RT,F,TOTAL,AC31A,NO	81.3 	87.6 
PTP_RT,F,TOTAL,AC31A,PL	88.0 	94.0 
PTP_RT,F,TOTAL,AC31A,RO	82.6 	: 
PTP_RT,F,TOTAL,AC31A,RS	84.5 	: 
PTP_RT,F,TOTAL,AC31A,SI	: 	86.0 
PTP_RT,F,TOTAL,AC31A,TR	83.6 	: 
PTP_RT,F,TOTAL,AC31A,UK	77.4 	87.4 
PTP_RT,F,TOTAL,AC321,AT	65.7 	: 
PTP_RT,F,TOTAL,AC321,BE	29.6 	47.9 
PTP_RT,F,TOTAL,AC321,BG	: 	59.1 
PTP_RT,F,TOTAL,AC321,DE	58.2 	65.2 
PTP_RT,F,TOTAL,AC321,EE	49.3 	68.1 
PTP_RT,F,TOTAL,AC321,EL	58.6 	: 
PTP_RT,F,TOTAL,AC321,ES	54.6 	67.0 
PTP_RT,F,TOTAL,AC321,FI	51.9 	59.7 
PTP_RT,F,TOTAL,AC321,FR	64.1 	75.6 
PTP_RT,F,TOTAL,AC321,HU	53.9 	: 
PTP_RT,F,TOTAL,AC321,IT	76.0 	81.3 
PTP_RT,F,TOTAL,AC321,LT	: 	74.7 
PTP_RT,F,TOTAL,AC321,LU	31.6 	: 
PTP_RT,F,TOTAL,AC321,LV	: 	50.2 
PTP_RT,F,TOTAL,AC321,NL	48.7 	: 
PTP_RT,F,TOTAL,AC321,NO	57.9 	64.2 
PTP_RT,F,TOTAL,AC321,PL	55.8 	62.8 
PTP_RT,F,TOTAL,AC321,RO	54.1 	: 
PTP_RT,F,TOTAL,AC321,RS	61.5 	: 
PTP_RT,F,TOTAL,AC321,SI	: 	66.2 
PTP_RT,F,TOTAL,AC321,TR	67.9 	: 
PTP_RT,F,TOTAL,AC321,UK	44.9 	62.2 
PTP_RT,F,TOTAL,AC32A,AT	25.6 	: 
PTP_RT,F,TOTAL,AC32A,BE	55.3 	52.4 
PTP_RT,F,TOTAL,AC32A,BG	: 	35.3 
PTP_RT,F,TOTAL,AC32A,DE	36.1 	39.7 
PTP_RT,F,TOTAL,AC32A,EE	28.4 	31.4 
PTP_RT,F,TOTAL,AC32A,EL	27.1 	: 
PTP_RT,F,TOTAL,AC32A,ES	31.8 	32.8 
PTP_RT,F,TOTAL,AC32A,FI	54.8 	58.2 
PTP_RT,F,TOTAL,AC32A,FR	24.2 	22.0 
PTP_RT,F,TOTAL,AC32A,HU	34.4 	: 
PTP_RT,F,TOTAL,AC32A,IT	23.1 	21.9 
PTP_RT,F,TOTAL,AC32A,LT	: 	51.5 
PTP_RT,F,TOTAL,AC32A,LU	52.5 	: 
PTP_RT,F,TOTAL,AC32A,LV	: 	38.7 
PTP_RT,F,TOTAL,AC32A,NL	48.7 	: 
PTP_RT,F,TOTAL,AC32A,NO	32.6 	6.0 
PTP_RT,F,TOTAL,AC32A,PL	29.4 	45.1 
PTP_RT,F,TOTAL,AC32A,RO	39.6 	: 
PTP_RT,F,TOTAL,AC32A,RS	33.6 	: 
PTP_RT,F,TOTAL,AC32A,SI	: 	41.8 
PTP_RT,F,TOTAL,AC32A,TR	22.3 	: 
PTP_RT,F,TOTAL,AC32A,UK	47.8 	38.5 
PTP_RT,F,TOTAL,AC331,AT	29.4 	: 
PTP_RT,F,TOTAL,AC331,BE	21.4 	29.6 
PTP_RT,F,TOTAL,AC331,BG	: 	33.2 
PTP_RT,F,TOTAL,AC331,DE	28.2 	32.4 
PTP_RT,F,TOTAL,AC331,EE	12.5 	22.3 
PTP_RT,F,TOTAL,AC331,EL	25.8 	: 
PTP_RT,F,TOTAL,AC331,ES	25.2 	29.7 
PTP_RT,F,TOTAL,AC331,FI	29.7 	39.1 
PTP_RT,F,TOTAL,AC331,FR	17.1 	20.5 
PTP_RT,F,TOTAL,AC331,HU	27.1 	: 
PTP_RT,F,TOTAL,AC331,IT	20.5 	25.9 
PTP_RT,F,TOTAL,AC331,LT	: 	21.9 
PTP_RT,F,TOTAL,AC331,LU	24.3 	: 
PTP_RT,F,TOTAL,AC331,LV	: 	15.4 
PTP_RT,F,TOTAL,AC331,NL	31.5 	: 
PTP_RT,F,TOTAL,AC331,NO	35.5 	39.6 
PTP_RT,F,TOTAL,AC331,PL	21.4 	29.4 
PTP_RT,F,TOTAL,AC331,RO	27.9 	: 
PTP_RT,F,TOTAL,AC331,RS	26.6 	: 
PTP_RT,F,TOTAL,AC331,SI	: 	26.3 
PTP_RT,F,TOTAL,AC331,TR	16.7 	: 
PTP_RT,F,TOTAL,AC331,UK	27.7 	33.0 
PTP_RT,F,TOTAL,AC332,AT	25.3 	: 
PTP_RT,F,TOTAL,AC332,BE	22.0 	29.8 
PTP_RT,F,TOTAL,AC332,BG	: 	13.1 
PTP_RT,F,TOTAL,AC332,DE	12.9 	18.0 
PTP_RT,F,TOTAL,AC332,EE	6.9 	13.4 
PTP_RT,F,TOTAL,AC332,EL	23.1 	: 
PTP_RT,F,TOTAL,AC332,ES	15.1 	20.3 
PTP_RT,F,TOTAL,AC332,FI	7.4 	12.7 
PTP_RT,F,TOTAL,AC332,FR	15.6 	22.6 
PTP_RT,F,TOTAL,AC332,HU	12.5 	: 
PTP_RT,F,TOTAL,AC332,IT	22.0 	27.7 
PTP_RT,F,TOTAL,AC332,LT	: 	8.1 
PTP_RT,F,TOTAL,AC332,LU	27.8 	: 
PTP_RT,F,TOTAL,AC332,LV	: 	8.2 
PTP_RT,F,TOTAL,AC332,NL	8.9 	: 
PTP_RT,F,TOTAL,AC332,NO	8.8 	13.9 
PTP_RT,F,TOTAL,AC332,PL	12.7 	17.0 
PTP_RT,F,TOTAL,AC332,RO	21.9 	: 
PTP_RT,F,TOTAL,AC332,RS	19.0 	: 
PTP_RT,F,TOTAL,AC332,SI	: 	25.0 
PTP_RT,F,TOTAL,AC332,TR	8.0 	: 
PTP_RT,F,TOTAL,AC332,UK	13.9 	21.5 
PTP_RT,F,TOTAL,AC33A,AT	8.2 	: 
PTP_RT,F,TOTAL,AC33A,BE	3.8 	8.7 
PTP_RT,F,TOTAL,AC33A,BG	: 	15.1 
PTP_RT,F,TOTAL,AC33A,DE	5.4 	10.1 
PTP_RT,F,TOTAL,AC33A,EE	9.5 	15.5 
PTP_RT,F,TOTAL,AC33A,EL	5.7 	: 
